"image_id","status","n_brain_px","mean_brain","sd_brain","error_msg"
"image_00149","OK",8476,0.308655928157011,0.104373072752694,NA
"image_00150","OK",10095,0.286663461818606,0.10750752605696,NA
"image_00151","OK",9847,0.305862539999243,0.1137346191717,NA
"image_00152","OK",9892,0.304922476471381,0.114957910517502,NA
"image_00153","OK",9239,0.368077353248909,0.129891881929433,NA
"image_00154","OK",6491,0.373901571104486,0.112798192789602,NA
"image_00155","OK",6813,0.299589740490354,0.104629349058216,NA
"image_00156","OK",6494,0.370056069856338,0.133406539775171,NA
"image_00157","OK",5222,0.408961895750257,0.137075741462525,NA
"image_00158","OK",7303,0.370883708816951,0.137616638339038,NA
"image_00159","OK",7245,0.302934410479168,0.113870107578169,NA
"image_00160","OK",6028,0.308628036483339,0.120894571644975,NA
"image_00161","OK",6286,0.307114471623839,0.117366071121757,NA
"image_00162","OK",5871,0.392875917186837,0.121604156441899,NA
"image_00163","OK",6624,0.420441709292413,0.136918908212919,NA
"image_00164","OK",7015,0.300452950959429,0.105724896499081,NA
"image_00165","OK",7238,0.25075920116596,0.0871086974507014,NA
"image_00166","OK",6567,0.394165867961316,0.12184319930788,NA
"image_00167","OK",7308,0.368702040203054,0.116190361871539,NA
"image_00168","OK",4655,0.40905751774394,0.134905747330462,NA
"image_00169","OK",7936,0.365930754862429,0.115487332771307,NA
"image_00170","OK",8286,0.344867316948503,0.113889774919633,NA
"image_00171","OK",8171,0.299919730467147,0.101059977377201,NA
"image_00172","OK",7501,0.279956267268939,0.0988236449802012,NA
"image_00173","OK",8424,0.313056882297078,0.114682856793971,NA
"image_00174","OK",8506,0.29026650161593,0.107878033544004,NA
"image_00175","OK",7923,0.337811979518552,0.134542919540493,NA
"image_00176","OK",7382,0.362194474105004,0.138538101880184,NA
"image_00177","OK",6406,0.360309268883951,0.137842496120635,NA
"image_00178","OK",5683,0.354023696404481,0.129975833863953,NA
"image_00179","OK",6435,0.223682678976797,0.0842214558078154,NA
"image_00180","OK",6726,0.425782739500796,0.131305416167488,NA
"image_00181","OK",7615,0.458216368622301,0.134232974802329,NA
"image_00182","OK",7118,0.357578412089759,0.118961124063562,NA
"image_00183","OK",7295,0.344791355884369,0.118748282571851,NA
"image_00184","OK",7740,0.352386254243299,0.125522308466547,NA
"image_00185","OK",6275,0.337579407858761,0.131787548532664,NA
