"image_id","split","class","mean_intensity","variance","skewness","kurtosis","energy","entropy","contrast","correlation","glcm_energy","homogeneity","dissimilarity","tumor_area","aspect_ratio","perimeter","extraction_error"
"image_00084","train","glioma_tumor",-1.45125115767889e-16,0.999999999999971,1.799002213202,2.8023906300782,6636.99999999981,4.64336894118697,18.8659472176017,0.757757837595941,0.02855916047482,0.520746749141726,2.35297461847326,6638,1.13207547169811,1740,NA
"image_00085","train","glioma_tumor",-3.19665820477144e-16,1,1.7340375650697,2.47484244253158,6229,4.63838907148573,17.6999626990267,0.774637193116,0.0249705706612961,0.509951777149375,2.30477369784262,6230,1.125,1741,NA
"image_00086","train","glioma_tumor",1.86753047985153e-16,0.999999999999993,1.7623301392012,2.92603579933392,7331.99999999996,4.76706925462769,13.3619887449774,0.708584136019504,0.0233900988994561,0.478241202531055,2.1533485556344,7333,1.03418803418803,1955,NA
"image_00087","train","glioma_tumor",-8.15850382742889e-16,1,1.81433852573902,2.97226331642407,7195,4.73139171549744,14.90657373589,0.760200591488021,0.0218057078719596,0.49167351481679,2.21375309039421,7196,1.02542372881356,1776,NA
"image_00088","train","glioma_tumor",-2.09592318068005e-16,0.999999999999995,1.92224483463952,3.66784454165971,6988.99999999997,4.73321677025905,13.9777044401891,0.753675074495324,0.0248944727744813,0.518637092776668,2.08479370614411,6990,1.01680672268908,1721,NA
"image_00089","train","glioma_tumor",-4.28755794509236e-16,0.999999999999986,1.79779926935399,3.14981503088338,6891.99999999991,4.76806644678611,17.2445630070527,0.757835649367134,0.0185409294596759,0.491198607966848,2.35098994497444,6893,1.00847457627119,1642,NA
"image_00090","train","glioma_tumor",-2.3468711422044e-16,1,1.73566308840612,3.3790150652511,5268.00000000002,4.91201079871264,21.6804788769851,0.569732418470889,0.014488582935557,0.427428098202003,2.70338108120275,5269,1.16867469879518,1477,NA
"image_00091","train","glioma_tumor",7.23433830813855e-17,1,1.3391325271625,1.39728326498,7881.00000000002,5.00375043496391,17.9389472105552,0.708083592547276,0.0135483764432941,0.450585657445871,2.56701611049782,7882,1.05,996,NA
"image_00092","train","glioma_tumor",-4.37742753571516e-17,0.999999999999992,1.42235960718711,1.43782697614683,8185.99999999993,4.8858228559864,17.5102127111706,0.716972994361499,0.0176930824018239,0.483259528404823,2.45135328515118,8187,1.03846153846154,1303,NA
"image_00093","train","glioma_tumor",1.86319418060592e-16,1,1.6357429728875,2.33669876200103,8744.00000000001,4.84880790331931,16.9528224269138,0.718461267092231,0.0192524889774422,0.498996787335193,2.33518137906235,8745,1.01869158878505,1219,NA
"image_00094","train","glioma_tumor",6.13964397963472e-16,1.00000000000002,1.68047897703354,2.91264411793235,7524.00000000015,4.84831063986612,17.1336829222711,0.687089271455703,0.0223528870588014,0.490823686354284,2.36567165463372,7525,1.19387755102041,1233,NA
"image_00095","train","glioma_tumor",-5.52232543515488e-16,1.00000000000001,1.51809723838113,2.50868386940859,6709.00000000004,4.95605328091611,15.9191656100944,0.704737900633449,0.0161911316626744,0.454291131934626,2.42671912008047,6710,1.16129032258065,1042,NA
"image_00096","train","glioma_tumor",3.64368349491516e-16,1.00000000000001,1.29606418546086,1.47483000700181,5447.00000000004,4.98466437349406,14.1088992012704,0.726346247275302,0.0160501390654932,0.43919794727513,2.38616612626909,5448,1.12790697674419,956,NA
"image_00097","train","glioma_tumor",-6.02959931330335e-16,0.999999999999998,1.51712734977804,1.84591982982716,7945.99999999999,4.84573232152022,15.0484014161357,0.724402085669625,0.022941834862999,0.495963089318123,2.24952809821261,7947,1.07843137254902,1285,NA
"image_00098","train","glioma_tumor",2.08221748986913e-16,0.999999999999998,1.67250779250675,2.69263094675107,8335.99999999998,4.85765264086791,11.8276407977631,0.718179327124523,0.0272714443794626,0.522900075147642,1.97818062930245,8337,1.05660377358491,1374,NA
"image_00099","train","glioma_tumor",-1.7050306537652e-16,0.99999999999999,1.77297864057928,3.18147782925994,8752.99999999991,4.84143390739642,16.9338735387075,0.717789711753084,0.0192782007422354,0.474750951529183,2.40337256110977,8754,0.966101694915254,1633,NA
"image_00100","train","glioma_tumor",5.60557393025787e-16,0.999999999999986,1.73276085291892,2.9381236180711,8438.99999999989,4.80806719877112,13.6538373254337,0.71639993240098,0.0242381270858099,0.506916347001326,2.11682676655746,8440,0.974576271186441,1897,NA
"image_00101","train","glioma_tumor",6.22576641040275e-17,1,1.76363085927632,3.43812182998934,5265.00000000001,4.9001921096356,23.9619659005575,0.50903132363334,0.0143543584011814,0.415054568440005,2.85275059374179,5266,1.1547619047619,1470,NA
"image_00102","train","glioma_tumor",8.09364669726735e-16,1,1.82248331440433,3.35189975191373,8451.00000000004,4.76570552865563,16.4109356788417,0.711922001434399,0.0217524561968993,0.486348057201328,2.30165237211661,8452,1.00862068965517,1995,NA
"image_00103","train","glioma_tumor",4.61557846347973e-16,0.999999999999995,1.82084286170895,3.45498723088729,8400.99999999995,4.78697345992392,14.3584562273639,0.690011052361414,0.0226186079569115,0.481102963654836,2.17984589969259,8402,0.983193277310924,1943,NA
"image_00104","train","glioma_tumor",2.4604586680053e-16,0.999999999999984,2.28464146730224,5.96669025820958,8426.99999999987,4.65036680611591,10.6535065678958,0.72403575072011,0.0376493033840327,0.553031641631262,1.75402689829128,8428,0.991596638655462,1852,NA
"image_00105","train","glioma_tumor",6.99547257727755e-16,1.00000000000002,2.47733828731388,7.14197638813653,8319.00000000017,4.62396802700578,11.458529545326,0.692855824723598,0.0425590611224524,0.57032636430077,1.75171413405154,8320,1.09433962264151,1779,NA
"image_00106","train","glioma_tumor",6.85548396742462e-17,1.00000000000001,1.67660706141314,2.85285844199487,7170.00000000009,4.84941751660187,13.5403260306102,0.69564086153131,0.0257875472409184,0.493975280125242,2.1358266816347,7171,1.16842105263158,1308,NA
"image_00107","train","glioma_tumor",2.737671090968e-16,1.00000000000002,1.55971513476187,2.27547378347094,6314.00000000011,4.90066729884649,17.1593651193335,0.679673509097969,0.0183123172314429,0.454500153907273,2.46536569578426,6315,1.16483516483516,1207,NA
"image_00108","train","glioma_tumor",-3.04707727289308e-16,0.999999999999999,1.41305306889638,2.28217356489141,5425,5.03027924489213,10.3202066976831,0.710400201311848,0.0177153219043755,0.46290902510931,2.02399718049496,5426,1.16666666666667,1028,NA
"image_00109","train","glioma_tumor",1.42871579296669e-16,0.999999999999998,1.55028281299883,1.76802262879567,7890.99999999998,4.75756611216567,14.7727855232615,0.731728208775731,0.0237448964247711,0.49399874131135,2.24769211070554,7892,1.24742268041237,1723,NA
"image_00110","train","glioma_tumor",-1.1180242303794e-16,0.999999999999999,1.35118050722556,1.45277758469391,4980,4.98849122551249,18.5231061502527,0.718507248827631,0.0105873154579681,0.390362571448674,2.79088922514438,4981,1.13978494623656,914,NA
"image_00111","train","glioma_tumor",1.73706064861428e-16,1,1.50602190270132,1.83930826417172,5254,4.85206635202352,17.5675096567061,0.709780452151897,0.0157939998652947,0.43304628204876,2.57558125549458,5255,1.14736842105263,1225,NA
"image_00112","train","glioma_tumor",5.53971987213989e-16,1,1.30237381619834,1.2759612928289,8183.00000000002,4.98582512334856,16.416156835636,0.719295902966604,0.014234641786133,0.447509537033453,2.48400304333866,8184,1.10280373831776,1018,NA
"image_00113","train","glioma_tumor",-1.11173765358099e-16,0.999999999999998,1.58999178670469,2.73821039610576,5129.99999999999,4.97673593054259,21.9244358531362,0.51558712739762,0.0144665839611432,0.417886257166893,2.78458276862295,5131,1.14285714285714,1298,NA
"image_00114","train","glioma_tumor",-1.28211477237215e-16,1,1.44181377640361,1.46999045125303,5728,4.86701374482209,21.7326367291272,0.699133888092433,0.0149197464333022,0.434191344084497,2.81352696941453,5729,1.15625,1254,NA
"image_00115","train","glioma_tumor",3.7619396617191e-16,1.00000000000001,1.55447498991892,1.91532160214699,6131.00000000006,4.82289966410932,19.6480992412916,0.71201614740816,0.0160496215400801,0.446373962926693,2.63771835229191,6132,1.16494845360825,1344,NA
"image_00116","train","glioma_tumor",3.7180863624626e-16,0.999999999999989,1.59327580355661,2.12875682597409,6741.99999999993,4.83613092216452,20.0075345207604,0.72811133284457,0.0162346608509192,0.456539978999466,2.62436211436237,6743,1.18556701030928,1339,NA
"image_00117","train","glioma_tumor",9.71469080644985e-16,1.00000000000001,1.69459951169481,2.70662988348435,6957.00000000004,4.8293579548846,13.9310907552537,0.691431653124922,0.0247701738970398,0.510756909409249,2.11378677864496,6958,1.18367346938776,1533,NA
"image_00118","train","glioma_tumor",-5.30005818368392e-16,0.999999999999993,1.14461098262207,0.886573240236478,7529.99999999995,5.04669084935347,15.2323567297511,0.734619799969434,0.0109939979379216,0.39257489085496,2.62412107408875,7531,1.13,1233,NA
"image_00119","train","glioma_tumor",2.48469279260124e-16,1,1.37117057816411,1.67918885091692,8612.00000000004,5.00565170540676,15.3961365378742,0.740392116466118,0.0142800298818477,0.433284114039354,2.47629381764158,8613,1.11538461538462,1244,NA
"image_00120","train","glioma_tumor",6.77163842887462e-16,0.999999999999982,1.57006148595027,2.24753384257553,7225.99999999986,4.91736160338097,19.2914573640279,0.726637409258852,0.0169699757925505,0.47979256862879,2.51221551338919,7227,0.98019801980198,1105,NA
